text,sentiment
kuthyy ethach keva yetoyy nighalo gandu missed,negative
voice call reading room mdhe kuthyy hee,neutral
pahaa hii yetana tuzya friend sobat jaa,positive
aani calcii aana dada offering linkedin career,neutral
kickstarter program th december dear students greetings,positive
from dr d y patil educational complex,neutral
akurdi pune,neutral
,neutral
the details of linkedincareerkickstarter program are shared,positive
as below linkedin in their career building,neutral
while at college,neutral
,neutral
as a part of this linkedincareerkickstarter program,neutral
we offer their linkedin premium services to,neutral
the students of our partner institutions completely,neutral
free of cost,positive
,neutral
we have helped l students and k,neutral
faculties through this program in the previous,neutral
academic year,neutral
,neutral
based on the positive feedback from the,positive
students on how this program has helped,neutral
them improve their career prospects and institutions,positive
requesting to extend this to the incoming,positive
batch linkedin has accepted to extend the,positive
timeline of this project,neutral
,neutral
linkedin premium services offer a host of,neutral
benefits to students we see three major,positive
areas through which the students can directly,neutral
realize the value learning students can learn,positive
from a bouquet of courses across domains,neutral
in technology skills certifications professional networking students,neutral
would be able to directly connect with,neutral
recruiters industry leaders for mentorship and guidance,neutral
through inmail credit land internships linkedin has,positive
been a great platform to network and,positive
land jobs and internships the session regarding,neutral
the registration process is arranged as below,neutral
date th december time noon,neutral
,neutral
venue shantai auditorium all students should register,neutral
in the link on or before th,neutral
december pm,neutral
,neutral
registration link corporate relations placement cell dr,neutral
d y patil educational complex akurdi pune,neutral
water bottle bharun aann yetanaa are bhai,neutral
keva yetoyy hii nahi yenar hello the,neutral
king is aavaj ny yet jaude chal,neutral
tasach lavla hota baher mazi pant ahe,neutral
ti aatamadhe an pirates of the caribbean,neutral
𝐃𝐨𝐰𝐧𝐥𝐨𝐚𝐝 𝐖𝐚𝐭𝐜𝐡 𝐎𝐧𝐥𝐢𝐧𝐞 part part part part,neutral
part how to play terabox videos water,positive
lagat asel tr ne ithe table vr,neutral
aahe ok thanks janu lavadu gandu jagayacha,positive
katala aalay ka done call uchlnaa bhauu,neutral
hii bhai kay he he paha udi,neutral
marli kay konitari haa vajlyapsun haa palikadchya,neutral
bajune paha distoy too ha baghitala pan,positive
ka marli aree divas zalay asech krathota,neutral
pan ka bhai cricket ground kheltoy kay,neutral
ha pahat hoto br bagh tumhi kara,positive
re abhyas aree tu gelyapasun nahi kela,neutral
pokemon pahat hoto kapade wash kele gandu,neutral
aree bhai room vr yenar aahe ki,neutral
nahii hii kuthyy tu arpit mhnt hota,neutral
key khidkit aahe mi didikade aloy khidkit,neutral
key ahe aaj yenar aahe ka udya,neutral
mg aaj pm daba nako anu maza,neutral
j karun yein ok na okk kaku,positive
la sangitaly ka tuu ha chal re,positive
bhai mazii bee chi practical book aahe,neutral
ka bg re ha wise men speak,positive
because they have something to say fools,negative
because they have to say something,neutral
,neutral
kiti bhai kashacha aavaj yetoy evdha devansh,neutral
agrawal r vcf file attached bol hii,neutral
window me hai bhai konse arpit k,neutral
hii gelay ka tuu haa bre brr,neutral
this message was deleted this message was,neutral
deleted this message was deleted this message,neutral
was deleted this message was deleted this,neutral
message was deleted this message was deleted,neutral
this message was deleted this message was,neutral
